time,index
6040,24007.3809
6041,23892.8398
6042,23805.6309
6043,23720.8106
6044,23720.8106
6045,23633.2500
6046,23315.2402
6047,23261.6094
6048,23159.1406
6049,23336.0000
6050,23291.8008
6051,23073.7598
6052,23276.2695
6053,22960.6309
6054,22901.0801
6055,23011.1406
6056,23163.3809
6057,23199.3906
6058,22711.0195
6059,22730.7793
6060,22747.2793
6061,22900.7891
6062,23118.0703
6063,23184.3203
6064,23684.1309
6065,23626.4297
6066,23253.8398
6067,22949.5606
6068,22868.6699
6069,22661.6309
6070,22609.8301
6071,22420.3691
6072,22508.0801
6073,22496.0000
6074,22343.7695
6075,21953.1094
6076,21695.2598
6077,21599.5098
6078,21850.5898
6079,21859.9707
6080,21759.1406
6081,22171.9492
6082,22041.7695
6083,22061.7793
6084,22061.1797
6085,22398.0996
6086,22770.4707
6087,22747.9492
6088,22517.5508
6089,22530.1797
6090,22726.4297
6091,22347.2305
6092,21663.1602
6093,21926.8809
6094,21940.1992
6095,21875.3809
6096,21804.7500
6097,21902.4004
6098,22003.6895
6099,21987.2891
6100,22444.8008
6101,22293.2891
6102,22572.0801
6103,22541.6895
6104,22570.7402
6105,22440.2500
6106,22663.3691
6107,22421.4609
6108,21992.7207
6109,21884.7402
6110,20946.1406
6111,20490.5703
6112,19330.6992
6113,19783.6699
6114,19595.1406
6115,19620.0098
6116,20260.0996
6117,20212.0801
6118,20289.0293
6119,20016.2695
6120,19399.9199
6121,19486.8691
6122,19875.5293
6123,19466.7891
6124,19752.4805
6125,19582.8809
6126,19865.1094
6127,20204.1699
6128,20534.8496
6129,20585.3301
6130,20212.9102
6131,19616.4004
6132,19710.5000
6133,20048.0000
6134,19912.8203
6135,19866.6309
6136,19030.5391
6137,19045.4395
6138,19181.5000
6139,19455.3106
6140,18917.9492
6141,19014.8008
6142,18824.1699
6143,17911.9492
6144,17668.8301
6145,17407.8008
6146,18130.5508
6147,18011.0606
6148,18011.0606
6149,17592.4102
6150,16822.1504
6151,16250.2695
6152,17172.2793
6153,17707.0098
6154,17711.0606
6155,18141.5898
6156,18329.4609
6157,18757.8106
6158,18501.7891
6159,18873.9902
6160,18076.4609
6161,18309.2207
6162,17983.0996
6163,18025.7207
6164,18771.8203
6165,18968.1992
6166,19066.5391
6167,19688.6992
6168,20019.2402
6169,19864.8691
6170,19369.9609
6171,19733.7109
6172,19242.5000
6173,19842.7891
6174,19677.8906
6175,19678.4707
